time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2025-08-02T17:06:54.14Z,45.3662730,5.3274032,388.351,-1.02,-1.68,-0.02,136.236,83.897,6.24,238.81441,34.11742,3,5
2025-08-02T17:06:54.34Z,45.3663768,5.3276493,385.878,-0.26,-1.10,-0.34,61.919,49.961,2.98,238.81441,34.12529,3,6
2025-08-02T17:06:54.60Z,45.3663902,5.3276710,383.767,-0.34,-0.41,-0.41,49.642,50.921,2.48,238.81441,34.13384,3,9
2025-08-02T17:06:54.80Z,45.3663600,5.3276059,384.936,0.02,-0.24,-0.25,39.771,44.872,2.18,238.81441,34.13959,3,9
2025-08-02T17:06:55.00Z,45.3663472,5.3275664,388.345,-0.18,0.14,-0.11,31.058,38.722,0.78,238.81441,34.14166,3,9
2025-08-02T17:06:55.20Z,45.3663600,5.3275740,389.622,-0.53,-0.21,-0.99,22.828,31.206,1.36,238.81441,34.14525,3,12
2025-08-02T17:06:55.40Z,45.3663460,5.3276305,384.075,-0.39,-0.41,0.10,16.729,21.069,0.91,238.81441,34.14764,3,12
2025-08-02T17:06:55.60Z,45.3663226,5.3276017,383.832,-0.03,-0.16,-0.06,12.564,16.539,0.73,238.81441,34.14955,3,14
2025-08-02T17:06:55.80Z,45.3663053,5.3275411,385.659,-0.11,-0.22,0.01,9.861,13.752,0.60,238.81441,34.15112,3,14
2025-08-02T17:06:56.00Z,45.3662972,5.3275091,387.651,0.00,-0.12,0.17,8.044,11.825,0.39,238.81441,34.15215,3,14
2025-08-02T17:06:56.20Z,45.3662922,5.3274943,388.931,-0.03,-0.09,-0.15,6.606,10.626,0.50,238.81441,34.15348,3,14
2025-08-02T17:06:56.40Z,45.3662912,5.3274868,390.029,-0.02,0.29,-0.34,5.622,9.641,0.49,238.81441,34.15476,3,14
2025-08-02T17:06:56.60Z,45.3662904,5.3274816,390.547,0.13,0.19,0.16,4.970,9.006,0.37,238.81441,34.15574,3,14
2025-08-02T17:06:56.80Z,45.3662908,5.3274773,390.889,0.00,0.04,0.20,4.406,8.253,0.47,238.81441,34.15696,3,14
2025-08-02T17:06:57.00Z,45.3662906,5.3274762,390.974,0.14,0.14,0.39,4.254,7.927,0.54,238.81441,34.15838,3,14
2025-08-02T17:06:57.20Z,45.3662904,5.3274745,390.919,-0.17,-0.03,0.23,4.177,7.722,0.58,238.81441,34.15991,3,14
2025-08-02T17:06:57.40Z,45.3662905,5.3274728,390.704,0.00,0.22,0.51,4.082,7.442,0.56,238.81441,34.16138,3,14
2025-08-02T17:06:57.60Z,45.3662906,5.3274719,390.556,-0.04,0.08,0.37,3.973,7.116,0.52,238.81441,34.16274,3,14
2025-08-02T17:06:57.80Z,45.3662910,5.3274712,390.381,-0.02,0.04,0.40,3.858,6.835,0.51,238.81441,34.16408,3,14
2025-08-02T17:06:58.00Z,45.3662915,5.3274704,390.054,0.01,0.01,0.27,3.706,6.563,0.49,238.81441,34.16537,3,14
2025-08-02T17:06:58.20Z,45.3662902,5.3274665,389.961,-0.12,-0.65,-0.40,3.492,6.306,0.33,249.55574,32.81146,3,15
2025-08-02T17:06:58.40Z,45.3662886,5.3274663,389.779,-0.24,-0.03,0.29,3.265,5.974,0.30,249.55574,32.81249,3,15
2025-08-02T17:06:58.60Z,45.3662876,5.3274677,389.626,0.14,-0.03,-0.07,3.054,5.662,0.22,249.55574,32.81310,3,15
2025-08-02T17:06:58.80Z,45.3662864,5.3274691,389.271,0.02,0.12,0.08,2.908,5.456,0.26,249.55574,32.81381,3,15
2025-08-02T17:06:59.00Z,45.3662864,5.3274710,389.263,0.21,0.16,-0.35,2.777,5.248,0.29,249.55574,32.81501,3,15
2025-08-02T17:06:59.20Z,45.3662866,5.3274729,388.975,-0.15,0.07,0.27,2.681,5.131,0.30,249.55574,32.81588,3,15
2025-08-02T17:06:59.40Z,45.3662871,5.3274737,388.868,-0.03,-0.20,0.20,2.587,4.987,0.31,249.55574,32.81673,3,15
2025-08-02T17:06:59.60Z,45.3662874,5.3274736,388.766,-0.51,-0.19,0.09,2.475,4.811,0.18,218.98382,25.78956,3,15
2025-08-02T17:06:59.80Z,45.3662867,5.3274722,388.839,-0.06,0.25,0.46,2.400,4.686,0.33,218.98382,25.79139,3,15
2025-08-02T17:07:00.00Z,45.3662854,5.3274723,388.932,-0.14,0.03,0.14,2.335,4.532,0.26,218.98382,25.79229,3,15
2025-08-02T17:07:00.20Z,45.3662839,5.3274720,388.839,0.35,0.08,0.53,2.260,4.375,0.28,284.53317,29.82349,3,15
2025-08-02T17:07:00.40Z,45.3662837,5.3274706,388.667,0.53,0.21,0.46,2.194,4.232,0.25,352.42956,19.67163,3,15
2025-08-02T17:07:00.60Z,45.3662837,5.3274711,388.423,-0.09,0.16,0.15,2.137,4.111,0.24,352.42956,19.67274,3,15
2025-08-02T17:07:00.80Z,45.3662833,5.3274712,388.436,-0.07,-0.06,0.23,2.081,3.987,0.32,352.42956,19.67421,3,15
2025-08-02T17:07:01.00Z,45.3662830,5.3274699,388.543,-0.08,-0.24,0.03,2.025,3.884,0.18,352.42956,19.67536,3,15
2025-08-02T17:07:01.20Z,45.3662830,5.3274691,388.623,-0.12,0.08,0.26,1.983,3.789,0.31,352.42956,19.67676,3,15
2025-08-02T17:07:01.40Z,45.3662828,5.3274696,388.595,-0.02,0.08,0.11,1.935,3.698,0.27,352.42956,19.67800,3,15
2025-08-02T17:07:01.60Z,45.3662827,5.3274685,388.670,-0.35,-0.34,-0.22,1.892,3.612,0.21,297.22729,22.64928,3,15
2025-08-02T17:07:01.80Z,45.3662816,5.3274670,388.651,-0.31,-0.40,0.24,1.853,3.539,0.21,266.21602,23.81180,3,14
2025-08-02T17:07:02.00Z,45.3662814,5.3274658,388.574,-0.07,0.06,0.88,1.824,3.468,0.33,266.21602,23.81514,3,15
2025-08-02T17:07:02.20Z,45.3662806,5.3274665,388.394,-0.48,0.70,0.50,1.800,3.420,0.26,187.63983,21.38162,3,15
2025-08-02T17:07:02.40Z,45.3662796,5.3274680,388.223,0.18,0.17,0.34,1.776,3.365,0.33,187.63983,21.38339,3,15
2025-08-02T17:07:02.60Z,45.3662799,5.3274686,388.068,0.39,0.32,0.40,1.751,3.322,0.32,114.25652,21.59252,3,15
2025-08-02T17:07:02.80Z,45.3662807,5.3274679,388.220,-0.02,0.09,0.42,1.729,3.281,0.38,114.25652,21.59432,3,15
2025-08-02T17:07:03.00Z,45.3662807,5.3274674,388.408,0.04,-0.06,0.21,1.705,3.231,0.34,114.25652,21.59573,3,15
2025-08-02T17:07:03.20Z,45.3662805,5.3274677,388.421,0.32,-0.08,0.17,1.686,3.197,0.25,114.25652,21.59726,3,15
2025-08-02T17:07:03.40Z,45.3662812,5.3274679,388.370,0.56,0.28,0.43,1.670,3.160,0.34,69.81917,21.30377,3,15
2025-08-02T17:07:03.60Z,45.3662819,5.3274694,388.289,0.49,1.03,0.21,1.654,3.124,0.35,65.78913,11.10471,3,15
2025-08-02T17:07:03.80Z,45.3662815,5.3274707,388.149,-0.18,0.28,0.29,1.635,3.091,0.31,70.08277,39.15508,3,15
2025-08-02T17:07:04.00Z,45.3662812,5.3274713,388.070,-0.06,0.02,0.32,1.619,3.061,0.37,70.08277,39.15593,3,15
2025-08-02T17:07:04.20Z,45.3662814,5.3274720,387.985,0.05,-0.03,0.34,1.605,3.030,0.37,70.08277,39.15678,3,15
