time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2025-08-02T14:15:00.20Z,45.3662968,5.3274603,376.380,0.04,0.16,0.14,18.113,26.384,0.56,0.00000,137.88244,3,8
2025-08-02T14:15:00.40Z,45.3662957,5.3274658,376.370,-0.07,-0.16,0.00,13.590,13.230,0.36,0.00000,137.88268,3,8
2025-08-02T14:15:00.60Z,45.3662954,5.3274664,376.342,-0.02,-0.06,0.04,13.506,14.507,0.47,0.00000,137.88298,3,8
2025-08-02T14:15:00.80Z,45.3662974,5.3274705,376.416,0.06,-0.17,0.02,10.521,11.142,0.38,0.00000,137.88324,3,8
2025-08-02T14:15:01.00Z,45.3662902,5.3274823,376.774,0.28,-0.72,-0.17,8.027,9.801,0.22,291.80786,14.53574,3,8
2025-08-02T14:15:01.20Z,45.3662945,5.3274930,376.713,0.22,0.28,0.30,6.819,8.649,0.27,306.22891,39.19278,3,8
2025-08-02T14:15:01.40Z,45.3662966,5.3274945,376.563,0.20,-0.59,0.40,6.445,8.096,0.43,297.66399,40.02354,3,8
2025-08-02T14:15:01.60Z,45.3662972,5.3274937,376.455,-0.03,-0.15,0.21,6.112,7.627,0.43,297.66399,40.02451,3,8
2025-08-02T14:15:01.80Z,45.3662978,5.3274968,376.477,0.28,0.23,0.02,5.849,7.275,0.50,297.66399,40.02563,3,8
2025-08-02T14:15:02.00Z,45.3662982,5.3274974,376.505,-0.13,-0.17,0.25,5.633,7.055,0.57,297.66399,40.02692,3,8
2025-08-02T14:15:02.20Z,45.3662985,5.3274956,376.475,-0.31,0.23,-0.53,5.315,6.896,0.53,297.66399,40.02839,3,8
2025-08-02T14:15:02.40Z,45.3662980,5.3274981,376.679,0.02,-0.06,-0.69,5.058,6.788,0.60,297.66399,40.02994,3,8
2025-08-02T14:15:02.60Z,45.3662980,5.3275000,376.842,0.12,0.15,-0.64,4.876,6.708,0.66,297.66399,40.03145,3,8
2025-08-02T14:15:02.80Z,45.3662985,5.3274988,376.914,-0.05,0.13,-0.35,4.679,6.628,0.64,297.66399,40.03289,3,8
2025-08-02T14:15:03.00Z,45.3662996,5.3274958,376.847,0.32,-0.04,-0.32,4.519,6.559,0.67,297.66399,40.03441,3,8
2025-08-02T14:15:03.20Z,45.3663010,5.3274929,376.812,0.33,-0.23,-0.24,4.382,6.482,0.52,297.66399,40.03559,3,8
2025-08-02T14:15:03.40Z,45.3663015,5.3274931,376.890,-0.06,0.11,-0.29,4.254,6.397,0.75,297.66399,40.03728,3,8
2025-08-02T14:15:03.60Z,45.3663025,5.3274943,377.130,-0.06,0.15,-0.22,4.146,6.307,0.71,297.66399,40.03887,3,8
2025-08-02T14:15:03.80Z,45.3663029,5.3274943,377.345,-0.03,-0.22,-0.09,4.072,6.232,0.46,297.66399,40.03990,3,8
2025-08-02T14:15:04.00Z,45.3663030,5.3274942,377.346,-0.05,0.21,-0.37,4.009,6.151,0.76,297.66399,40.04161,3,8
2025-08-02T14:15:04.20Z,45.3663029,5.3274938,377.146,-0.13,-0.04,-0.67,3.916,6.049,0.65,297.66399,40.04313,3,8
2025-08-02T14:15:04.40Z,45.3663028,5.3274926,377.241,-0.05,0.17,-0.49,3.844,5.973,0.69,297.66399,40.04469,3,8
2025-08-02T14:15:04.60Z,45.3663031,5.3274928,377.466,-0.07,0.23,-0.33,3.791,5.906,0.67,297.66399,40.04620,3,8
